6.252051312326358357e+00 6.252051312326358357e+00 6.252051312326358357e+00
6.743624308459352790e-01 5.518166089407452457e-01 5.349659597462177452e-01
4.406682612941483779e-01 4.607232747716687449e-01 4.767225416069766908e-01
5.468726487032755657e-01 4.899808085267383095e-01 4.440906689587393319e-01
4.406812514556152638e-01 4.976396440863100068e-01 4.594663219851782276e-01
4.609652333243241529e-01 4.706226482370645114e-01 4.540302108763414335e-01
4.337706822107979532e-01 4.039811903389786130e-01 4.923756464331585647e-01
5.346273722994916433e-01 3.853842390045523203e-01 4.266498831172316208e-01
4.567802889921952492e-01 4.826070500688411924e-01 4.753078554710953307e-01
4.742050629080970525e-01 5.004032125427451128e-01 4.232640360894566744e-01
5.943464471595272247e-01 3.921238269083495709e-01 4.852262839860260746e-01
4.951983337883737457e-01 4.972388499484899915e-01 5.020825007163987053e-01
4.612553536107110164e-01 4.604112907205959448e-01 6.148227505260902559e-01
4.729738654801277642e-01 4.378787628628171280e-01 4.217568204500665718e-01
4.176012254605447893e-01 4.361798325483628447e-01 4.450307906846175388e-01
4.447198428898380129e-01 3.833715899742007327e-01 4.710987672255081415e-01
4.768346844712872956e-01 5.022440626135964425e-01 5.256648105672937499e-01
4.341583548177222474e-01 3.968795923876566323e-01 3.876784138565357862e-01
4.858261867187804728e-01 4.702364247254495755e-01 4.986878923334771563e-01
4.914459083162528441e-01 4.418792281061479921e-01 5.347252325911866500e-01
4.408964234119810977e-01 5.274431170807603042e-01 5.037300663578017090e-01
5.753757956620648706e-01 5.270468248865426419e-01 4.042441390645404309e-01
4.284743030327267665e-01 4.535316506924098601e-01 4.895687706005485973e-01
5.462817634195415994e-01 5.305576099351931862e-01 6.205274258031925338e-01
4.611850407115898332e-01 5.380573879221097755e-01 4.507495921565334851e-01
4.176803829280333891e-01 4.207080496368794664e-01 5.550176490775411420e-01
5.175890753657091947e-01 4.924348200844638757e-01 4.634998125400674462e-01
4.435329729448849734e-01 4.324307429908672562e-01 4.696083524466988512e-01
3.901931315514377552e-01 4.644696862663323378e-01 4.270863645337216741e-01
5.861057030795281397e-01 3.586458343481579991e-01 5.163684296032076126e-01
